idno,univ,year,date,title,count
cu1650,CUHK,2013,2013-10-11,CUHK Innovates ‘Authenticated Paper’ To be Exhibited in Hong Kong Electronics Fair,1
pu1118,PolyU,2009,2009-03-02,PolyU Graduate School of Business Organises Information Seminars on DBA &amp; MBA Programmes,1
cu3449,CUHK,2004,2004-08-06,Professor Leung Yuen Sang appointed as Head of Chung Chi College of CUHK,1
pu1985,PolyU,2010,2010-10-28,PolyU pays tribute to six distinguished Chinese scholars,1
cu0724,CUHK,2007,2007-04-02,New Study Demonstrates Telbivudine’s Superiority to  Adefovir in Hepatitis B Treatment,1
hu0675,HKU,2015,2015-09-30,HKU Council Chairman Dr Leong Che-hung responds to media enquiries about Council Member Mr Billy Fung’s disclosing discussions at meeting,1
cu1889,CUHK,2014,2014-09-28,Vice-Chancellor's message to all staff and students,1
pu6160,PolyU,2015,2015-11-03,PolyU to honour five distinguished personalities at 21st Congregation,1
pu0905,PolyU,2007,2007-10-22,PolyU and Warwick jointly hold the Fifteenth Congregation for Integrated Engineering Business Management Programme,1
pu1286,PolyU,2005,2005-05-09,PolyU's Centre for Infection Control opens,1
pu6064,PolyU,2014,2014-12-09,"Launch of Tripartite Master of Science in Global Hospitality Business by Ecole hôtelière de Lausanne, PolyU and University of Houston Conrad N. Hilton College of Hotel and Restaurant Management",1
pu1439,PolyU,2010,2010-01-15,PolyU celebrates success of student-athletes in EAG,1
cu0119,CUHK,2009,2009-11-19,CUHK Appoints Dean of Engineering,1
