,author,title,gender,sizecat,canonicity,timeslot
FRA1005_Boisgobey-088,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-089,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-090,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-091,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-092,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-093,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-094,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-095,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1021_Gaboriau-000,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-001,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-002,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-003,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-004,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-005,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-006,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-007,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-008,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-009,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-010,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-011,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-012,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-013,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-014,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-015,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-016,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-017,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-018,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-019,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-020,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-021,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-022,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-023,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-024,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-025,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-026,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-027,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-028,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-029,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-030,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-031,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-032,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-033,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-034,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-035,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-036,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-037,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-038,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-039,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-040,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-041,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-042,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-043,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-044,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-045,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-046,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-047,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-048,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-049,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-050,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-051,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-052,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-053,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-054,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-055,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-056,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-057,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-058,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-059,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-060,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-061,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-062,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-063,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-064,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-065,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-066,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-067,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-068,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-069,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-070,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-071,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-072,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-073,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-074,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-075,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-076,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-077,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-078,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-079,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-080,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-081,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-082,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-083,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-084,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-085,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-086,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-087,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-088,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-089,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-090,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-091,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-092,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-093,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-094,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
FRA1021_Gaboriau-095,"Gaboriau, Émile",L'Argent des autres : ELTeC edition,M,long,medium,T2
